total_fat_daily_percentage,saturated_fat_daily_percentage,cholesterol_daily_percentage,sodium_daily_percentage,carbohydrates_daily_percentage,dietary_fiber_daily_percentage,vitamin_a_daily_percentage,vitamin_c_daily_percentage,calcium_daily_percentage,iron_daily_percentage,item_id
0,0,0,1,0,0,0,0,0,0,140
0,0,0,0,0,0,0,0,0,0,141
0,0,0,0,12,0,0,0,0,0,142
0,0,0,0,15,0,0,0,0,0,143
0,0,0,1,18,0,0,0,0,0,144
0,0,0,0,9,0,0,0,0,0,145
0,0,0,0,0,0,0,0,0,0,146
0,0,0,0,0,0,0,0,0,0,147
0,0,0,0,0,0,0,0,0,0,148
13,24,9,5,5,3,8,0,30,0,149
16,30,11,6,6,4,10,0,35,0,150
21,39,14,8,8,6,15,0,50,2,151
13,24,9,5,13,3,8,0,30,0,152
16,30,11,6,17,4,10,0,35,0,153
21,39,14,8,21,6,15,0,50,2,154
13,24,9,5,13,3,8,0,30,0,155
16,30,11,6,17,4,10,0,35,0,156
21,39,14,8,21,6,15,0,50,2,157
13,24,9,5,13,3,8,0,30,0,158
16,30,11,6,16,4,10,0,35,2,159
21,39,14,8,20,6,15,0,50,2,160
13,24,9,6,8,4,8,0,30,0,161
16,30,11,8,10,5,10,0,35,0,162
21,39,14,10,12,7,15,0,50,2,163
0,0,2,5,5,3,10,0,30,0,164
0,0,2,6,6,4,15,0,40,0,165
1,0,3,7,8,6,15,0,50,2,166
0,0,2,5,14,3,10,0,30,0,167
0,0,2,6,17,4,15,0,40,0,168
1,0,3,7,21,6,15,0,50,2,169
0,0,2,5,13,3,10,0,30,0,170
0,0,2,6,17,4,15,0,40,0,171
1,0,3,7,21,6,15,0,50,2,172
0,0,2,5,13,3,10,0,30,0,173
0,0,2,6,16,4,15,0,40,2,174
1,0,3,8,20,6,15,0,50,2,175
0,0,2,6,8,4,10,0,30,0,176
0,0,2,8,10,5,15,0,40,0,177
1,0,3,10,13,7,15,0,50,2,178
18,34,12,6,16,6,10,0,30,6,179
21,40,14,8,20,8,10,0,40,6,180
26,49,17,10,24,10,15,0,50,8,181
5,11,5,6,16,6,10,0,35,6,182
6,11,5,8,20,8,15,0,40,6,183
6,12,6,10,24,10,20,0,50,8,184
17,33,12,7,15,3,10,0,30,2,185
21,40,14,9,18,4,15,0,40,2,186
26,49,17,11,22,5,15,0,50,4,187
5,10,5,7,15,3,10,0,35,2,188
5,11,5,9,19,4,15,0,40,2,189
6,11,6,11,22,5,20,0,50,4,190
21,39,14,8,17,3,10,0,40,6,191
25,47,16,9,20,4,15,0,45,6,192
31,58,20,12,24,5,20,0,60,8,193
5,11,5,7,17,3,15,0,40,6,194
5,11,6,9,20,4,20,0,50,6,195
6,12,7,12,25,5,25,0,60,8,196
7,15,6,1,8,0,4,0,4,0,197
11,22,9,2,10,0,4,0,4,0,198
14,29,12,3,16,0,6,0,8,0,199
7,15,6,2,7,0,4,0,4,0,200
11,22,9,2,10,0,4,0,4,0,201
14,29,12,3,14,0,6,0,6,0,202
7,15,6,1,7,0,4,0,4,0,203
11,22,9,2,10,0,4,0,4,0,204
14,29,12,3,14,0,6,0,8,0,205
7,15,6,2,7,0,4,0,4,0,206
11,22,9,2,9,0,4,0,4,0,207
14,29,12,3,14,0,6,0,8,0,208
7,15,6,3,3,0,4,0,4,0,209
11,22,9,4,4,0,4,0,4,0,210
14,29,12,6,6,0,6,0,8,0,211
17,33,12,5,14,4,10,0,25,4,212
19,38,13,6,17,5,10,0,30,6,213
25,49,17,9,23,8,15,0,40,8,214
8,16,7,5,14,4,10,0,25,4,215
8,17,7,6,17,5,15,0,30,6,216
9,18,8,9,24,8,20,0,45,8,217
17,33,12,6,13,0,10,0,25,2,218
19,37,13,7,15,2,10,0,30,2,219
25,48,17,10,22,3,15,0,40,4,220
8,16,7,6,13,0,10,0,25,2,221
8,16,7,7,16,2,15,0,30,2,222
8,17,8,10,22,3,20,0,45,4,223
28,59,21,5,22,3,15,0,20,4,224
34,71,25,7,27,4,15,0,25,4,225
41,85,30,8,33,4,20,0,35,4,226
29,60,22,5,21,0,15,0,25,2,227
35,73,27,7,26,0,20,0,30,2,228
42,87,32,8,32,0,20,0,35,2,229
35,72,22,6,25,5,15,0,25,4,230
41,85,26,7,30,5,15,0,30,4,231
48,101,32,8,37,5,20,0,35,6,232
1,0,1,2,17,12,0,2,6,2,233
1,0,1,2,21,15,0,4,8,2,234
2,3,2,3,26,19,0,4,10,2,235
1,0,1,2,16,10,0,30,8,2,236
1,0,1,2,19,13,0,35,8,4,237
2,3,2,3,25,16,0,45,10,4,238
1,0,1,2,17,4,30,20,8,2,239
1,0,1,2,20,5,40,25,8,2,240
2,3,2,3,26,6,50,30,10,2,241
24,49,20,7,29,0,20,0,40,0,242
29,61,24,9,36,0,25,0,50,0,243
35,73,29,11,45,0,30,0,60,0,244
25,52,21,7,30,0,20,0,40,0,245
30,63,25,9,38,0,25,0,50,0,246
36,75,30,11,47,0,30,0,70,0,247
25,51,20,10,30,5,20,0,40,8,248
30,62,24,13,38,6,25,0,50,10,249
36,74,29,16,47,8,30,0,60,15,250
29,61,24,9,36,0,25,0,50,0,251
35,73,29,11,45,0,30,0,60,0,252
35,72,17,7,32,6,15,0,45,8,253
50,102,25,11,46,7,25,0,70,10,254
24,48,11,5,21,4,10,0,30,4,255
26,44,14,12,27,4,15,0,40,8,256
35,58,19,16,35,5,20,0,50,10,257
17,29,9,8,18,2,10,0,25,6,258
50,76,20,17,38,9,20,0,60,6,259
25,38,10,8,19,5,10,0,30,4,260
